Industry Title,year1998,year1999,year2000,year2001,year2002,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011
mining,81002,82027,108889,119296,109462,134851,159347,192269,229814,254545,319166,213366,239511,287584
cons,383658,428385,467308,490525,494328,516071,554197,612524,650970,653786,614204,541905,511639,520340
dur,781161,802446,839100,758754,767751,766378,822043,878318,921275,939915,904105,800396,914503,989258
nondur,545587,565616,576550,585176,587786,607926,660626,691006,727082,758107,724393,739830,787434,847774
wholesale,557251,579103,617651,613304,614892,638082,684194,725500,769671,816730,824067,768548,797348,844928
retail,626929,653383,686228,703893,731156,769452,795054,837564,875752,887891,848629,837205,884877,916951
info,386136,438549,417829,451078,499693,506594,558794,586459,590556,635520,636843,615445,623472,662324
finance,634698,681747,762012,838678,863537,902447,919020,1019432,1092676,1080004,1041460,1098964,1241946,1256198
realestate,1062135,1152255,1235675,1316113,1358736,1414092,1481357,1579354,1672626,1777039,1875161,1865568,1765239,1751682
profbusserv,926975,1010171,1116765,1170671,1198309,1259980,1347540,1460172,1567166,1697606,1783170,1678077,1782837,1897945
educ,72967,79455,85852,88692,98855,106060,115996,120187,129116,137881,147614,156740,163101,169315
health,528259,559018,592144,640500,690943,741015,790148,833344,886190,939002,1006332,1053680,1109187,1151187
arts,81242,90965,98566,94816,102140,106077,114730,118851,127744,137233,132370,130009,139112,144058
accom,239837,264434,283043,296358,309010,321680,343988,366542,384701,411743,404907,387604,416693,441647
other,245550,259340,277588,264193,284966,288832,300802,313047,331560,343754,342693,340791,356766,368747
govt,1099074,1153919,1215393,1275395,1352970,1435322,1507684,1585904,1667812,1759901,1854396,1920855,1968510,1996653
trans,440719,459842,475299,480170,483378,511814,555021,575387,630037,653477,672657,649996,667386,669632
