short_names,intermediate_uses,final_uses,consumption,demand_elasticity
accom,437460,1765260,1327800,0.05092706785930153
const,344569,2051653,1707084,0.06547430539955407
dur,2879826,6475332,3595506,0.13790373403413603
edhealth,121634,3481030,3359396,0.12884785966129397
fin,3667844,7965548,4297704,0.1648361675306459
gov,101287,3539336,3438049,0.13186455394381968
info,797565,1928739,1131174,0.04338558145705494
mining,631675,840031,208356,0.007991384358256236
nondur,3051307,6995788,3944481,0.1512884858839626
other,329784,961068,631284,0.02421256447242906
profserv,4250452,6100495,1850043,0.07095742235549464
trade,136139,149221,13082,0.0005017532020902113
trans,1138944,1707564,568620,0.021809119841961166
