Industry,Eng,Arts,Clean,Bus Ops,Soc S,Math,Cons,Educ,Agg,Food S,Health P,Health S,Repair,Legal,Science,Manag,Admin,Care,Prod,Prot S,Sales,Trans
accom,0.0003287980769842053,0.024400637123392785,0.04122215929799898,0.021583419412531456,0.00014032323324753474,0.002187109050354522,0.0012201122306160638,0.004946212122663505,0.00031628280573728584,0.6221940234807698,0.0015003559740556542,0.0008922269169288683,0.018983137380788405,0.0002792152681660767,0.0003408883903252587,0.09077215855240546,0.04346916699332006,0.05055466758285625,0.007055215815764157,0.010915924811395899,0.037132818411286704,0.019565147068411073
const,0.016064671320800594,0.0014180929434704941,0.003258438694182365,0.07275278520221744,2.1327615861412375e-05,0.0032937471687988088,0.5506575506645371,2.391399465744624e-05,9.211138519208324e-05,5.4877139366827916e-05,2.2528053285061735e-05,0.0,0.08113441701314812,0.0006538104467313879,0.002992201380631155,0.13418820626082634,0.068296792180529,3.9536363174666266e-05,0.013439837600679292,0.0007065965517792001,0.024703863353502973,0.02618469466662824
dur,0.12787594546604855,0.005517194826979178,0.0019153602065836513,0.0720384665258382,5.433725580300776e-06,0.06047516198281273,0.019862614722187814,4.7040662894056226e-05,0.0006292763225905748,6.071133349234137e-05,0.0011345436292313038,0.00010008539678360733,0.04253942030923373,0.0017474602613827737,0.005419108466948292,0.14807160601940786,0.061117959537671976,3.5858673415235505e-06,0.36643402318510276,0.0008925170519906914,0.03894031059998089,0.04517217389991719
edhealth,0.00086849055098968,0.0074580161102167225,0.01434595259458884,0.026176143288914037,0.039768948888793745,0.013022604157581979,0.0016308380524584028,0.24238409206554398,0.00011841796210157511,0.013358307740126583,0.3347867001849582,0.09973948588149799,0.007942612747094617,0.000703568242552537,0.011057407896736938,0.08109305060470541,0.07767075198558764,0.011511586985061016,0.001684440112116782,0.005280813601612821,0.0024640727349571154,0.006933697611803384
fin,0.001376492351101898,0.0042931489204397315,0.007623566894674686,0.27151528334698116,0.0020544259874342007,0.08244324860340389,0.002604020441606777,0.00012509252351486515,4.017379041423192e-05,0.0009906102980648385,0.008470757064555464,0.0002238159559616539,0.032758950160125824,0.014066179922966108,0.000684977526800022,0.21456073977150816,0.1831654888080171,0.0013440349545483618,0.000962383863560524,0.002789246715317303,0.15997107324954168,0.007936288849461508
gov,0.04106876020788205,0.007733536693144378,0.012211199025908873,0.13739272013175322,0.046286275384896006,0.03846628368584003,0.036630280205106155,0.016288136406846593,0.001409841905661501,0.003420398437703055,0.0642839846189406,0.008108791636529134,0.03611037193135714,0.04318829059437928,0.03970819591925506,0.10501796615656477,0.10885926365625392,0.009735641587399783,0.015147600837708301,0.19186951792512966,0.0036168227562104003,0.033446120295530075
info,0.016482494563000615,0.12585237580640016,0.000566222747161799,0.11434112645215132,0.00017481266349395527,0.29145362581872114,0.0016368565274445207,0.0033775493267590453,0.0,0.0015219351902405493,0.001344635480174503,6.094510592745067e-05,0.056258220957670656,0.008574170418875676,0.0012374131052786627,0.20444250852545814,0.06758540235291645,0.004841570956623264,0.0034436347246469515,0.0006476922197646109,0.0915937520769782,0.004563054980312324
mining,0.0786703459042621,0.000796249248413111,0.0010526687870729679,0.06129461159918334,0.0,0.017623518092505924,0.31495590212067237,0.0,0.00014324200472393508,9.02360650701609e-05,0.0,0.0,0.08296589425070781,0.004568463108319542,0.030026563906326367,0.16041167527520073,0.05551503911811902,5.978203289957342e-05,0.06067881457631436,0.001413704039793337,0.025880945508924398,0.10385234436149096
nondur,0.0405172219572292,0.009455534935186452,0.006654087422699684,0.0506570712587257,3.560702760737696e-05,0.014013298135729622,0.005904891950312396,2.271892798778322e-05,0.0036917087944604685,0.013626341872760375,0.0012568825380219746,8.568876519416484e-05,0.06764531525851296,0.001107597386858556,0.033590342539614015,0.1361733162931971,0.07184745216403707,0.0001366015442423398,0.3983310925866699,0.000659590144973526,0.048977825284846885,0.09560981321113247
other,0.005323703224650648,0.03060030302625125,0.014878535470171038,0.10826195014061574,0.028098640852664492,0.017514921992165162,0.0041439648391540865,0.013493645660023203,0.0004929484557503637,0.009612285173351718,0.005533177563774666,0.012732977565147319,0.16933266499064928,0.005994588418053382,0.005663981129288146,0.16758260349343443,0.11443820203991859,0.1424152424109315,0.04257770670368768,0.005982887686307196,0.034267388457826356,0.06105768070618378
profserv,0.06406472926986331,0.021332684497928307,0.043347717002852275,0.1629983088097503,0.0013557955765022365,0.150464634089941,0.012329731122465463,0.001561660784911193,0.0005125068472593052,0.002047310252786371,0.02346772714390749,0.005820079827159362,0.013369080319527963,0.05864585977370319,0.02366708634986962,0.19867337184422698,0.10215752959690327,0.001719729690958674,0.01889237364159504,0.02047160731037263,0.040969288231148135,0.03213118801636785
trade,0.006130144226665843,0.011561899135511594,0.004723708550524588,0.0428339142385192,0.00019253026774972124,0.020694800486647732,0.0035416453778062103,0.00041600039941189573,0.0024643677775601017,0.018394881487220738,0.041100834236387614,0.001411252320237965,0.05859411375360215,0.000873959898081154,0.001958631483734277,0.12487569599570601,0.09847875048390982,0.0029879889112576293,0.02749271655081507,0.0025649972360184546,0.37863495110910395,0.15007221607352833
trans,0.013778408769122844,0.0005235597540474522,0.004961528548263388,0.012933756443070873,0.0,0.005469937863971826,0.014162430024270036,2.3599981363693866e-05,4.7756990522095614e-05,0.0,2.2800599553250846e-05,0.0,0.09393505677698052,0.0005107528072728925,0.002907081411572835,0.016269851663561756,0.2008991131930084,0.0007904936563351949,0.0296764849560728,0.0010971885228035576,0.015611375802809373,0.5863788222353972
