variable,TOT_EMP_HR,TOT_EMP,Workers,Tau
Admin,104065.65076069227,18299400.0,18195334.34923931,0.005719359082018899
Agg,735.2731645391885,447120.0,446384.7268354608,0.0016471736606037894
Arts,19461.245237089865,1808320.0,1788858.75476291,0.010879140225729672
Bus Ops,125385.40273674915,8911520.0,8786134.59726325,0.0142708265334115
Care,14811.692624122074,2566440.0,2551628.307375878,0.0058048002451244855
Clean,24716.486020067434,4108790.0,4084073.5139799328,0.006051919960662314
Cons,22025.72312366778,5848960.0,5826934.276876332,0.003779984821705454
Educ,43229.74473931968,8190960.0,8147730.25526068,0.005305740787307959
Eng,40807.63169559011,2407010.0,2366202.36830441,0.01724604465037043
Food S,19310.99460996141,11196150.0,11176839.005390039,0.0017277688799712217
Health P,75120.38188051373,8786300.0,8711179.618119486,0.00862344540850258
Health S,20594.64351310336,6600830.0,6580235.356486897,0.0031297730852135625
Legal,30787.040064391265,1176590.0,1145802.9599356088,0.026869401756582492
Manag,163969.18610971762,8909920.0,8745950.813890282,0.01874801146255047
Math,90197.35992782246,4617830.0,4527632.640072177,0.01992152789286027
Prod,46518.031909098485,8408020.0,8361501.968090901,0.005563358363918377
Prot S,30674.906484295207,3340820.0,3310145.093515705,0.009266937133476342
Repair,37041.950054864246,5574450.0,5537408.049945136,0.0066894022836607205
Sales,63502.44172575973,13256290.0,13192787.558274241,0.004813421079151109
Science,17883.52462006585,1262660.0,1244776.475379934,0.014366856197701996
Soc S,14011.093743652198,2213830.0,2199818.906256348,0.006369203257506446
Trans,43079.595254915825,12639910.0,12596830.404745083,0.003419875783886733
