,accom,const,dur,edhealth,fin,info,mining,nondur,other,profserv,trade,trans,constant
accom,0.5213330840898015,-0.8124473409706843,0.07710673167110854,0.6067339307485649,0.002823624102342881,-0.24406953992365205,0.13899567637395321,-0.003579081669485451,0.11580217050106625,0.09153215029878281,0.02424367575569447,0.04002636261282494,0.005557001515596441
const,-0.022881807388391823,0.7641912017985067,0.0936889912953991,0.1313577377354,-0.04395962223108006,-0.08301839948793499,0.06531600038167082,-0.08329834513550816,-0.04932236706490578,-0.06100712127584268,-0.00285344602905524,0.0256544781819536,-0.004533233457750991
dur,-0.1832312604921906,0.8393259976910294,0.6908193020770589,0.4743463404321263,0.2852936707981879,-0.24622146600110378,0.1194015264085031,-0.0033248968805257295,0.229678026838342,0.013315745917897748,-0.24361024520118413,-0.09035934724630701,0.017734224245945215
edhealth,0.15783710536280385,-0.04639156055709126,-0.17296314838213728,0.4276437211711746,0.18844131229050065,-0.16452094320659616,-0.043147768138690895,0.11486405801801147,-0.08388381719950672,-0.35654395957299223,0.16272396042638085,-0.1829466449330589,0.0033984378226397313
fin,1.2436073383207409,2.5021660311208063,-1.8091016910139346,1.481563058227838,0.11279356087886983,1.376283291694626,0.6397458450564675,1.6415211691489704,0.6465437769977895,-0.9817244790398076,0.09192529546806716,1.4037829815851677,-0.08756020236765279
info,0.35579824958219186,-2.1045460625775543,-0.2110341279430632,-0.3578633141057369,1.0113644606555046,0.17599859637573478,0.451642949807198,0.37312011582811944,0.002459271555166842,-0.03921255048306893,0.31373517056718403,-0.5077812877479033,-0.007977457442916322
mining,-1.4439002251308088,3.641400081544294,0.6611944216903471,0.6215977040293432,-1.3845707513565886,1.0857008641482033,1.055757571214793,-0.42377376566733993,0.8730350480002718,-1.4830282856483643,-1.3921962837738289,0.2503453052966369,0.04564290980782151
nondur,-0.3550085264694872,1.4332534004328465,-0.16868590771582914,0.25264872529630955,-0.05617686015263498,-0.17846530173928637,0.4376199224650086,0.9258734239814577,0.36315046671473217,-0.0903777371522151,-0.22037652121593826,3.61033409579381e-05,0.01462026113564855
other,0.13164447059664255,-0.28402696109528053,-0.15249388553798382,-0.5335399526305612,0.6634739090645003,0.4962250400322972,0.1740645662047554,0.03054438344287036,0.38984002881840707,-0.05281848171923326,0.09474243604335641,0.017682559347250826,-0.04454224013416962
profserv,0.06390679517904185,0.4573455361564426,-0.025621835471252463,0.24393927630786572,-0.061733976506562205,-0.2819292834481881,-0.0702745133042908,-0.0706996205624561,0.007933909424120228,0.841225507642479,0.09312111325558359,-0.10190194739848296,0.011835226384638476
trade,-0.19977846745971223,2.888310447901955,0.32628593112606913,0.5512936438709266,-0.2921844729542359,-0.7289099019923735,-0.10990584405124904,0.20582770086849422,0.3266329205713512,0.5639191209939955,0.04978472287311475,0.2065350631135492,0.036597599039460166
trans,-0.5195487739341162,-2.3777841260222807,-0.15228883175507008,0.6044968053056785,-0.1513062499608524,-0.07599729184747173,0.7275627210287121,1.3506454334028801,0.9921630531931177,-0.6059715029354812,-0.15244719222815506,-0.046696567250633814,0.018938655580853142
